term,definition,long_definition,vernacular_definition,note,example
akidah,"belief, faith.","belief, faith.",keyakinan; kepercayaan.,,Percaya pada Tuhan adalah AKIDAH agama yang mendasar.
akik,"carnelian, agate","^carnelian, agate",,,
akilbalig,"of age, grown up (from age 15 on)","*^1. of age, grown up (from age 15 on) 2. legally responsible",,,*Eka sudah memasuki usia AKILBALIG
akord,harmonic chords,harmonic chords,,,
akrab,"intimate, chummy. BER--AN: be chummy with, be close to. Also MENG--KAN,+","^*intimate, chummy, familiar with. BER--AN: be chummy with, be close to. *MENG--KAN: bring close, strengthen (friendships, etc.). *KE--AN: 1 intimacy, familiarity.",Sudah biasa. Dekat/erat. Sinonim: Karib.,,KEAKRABAN keluarga Pak Ali perlu dicontoh.
aksen,accent,accent,logat,,Orang Jawa biasanya mempunyai AKSEN yang sangat kuat
aksentuasi,accent,"MENG--KAN: 1.accentuate, stress, accentuating. 2. accent, stress. 3. emphasis, stress.",,,Dia senang ~ rasa daerahisme dan sukuismenya
aksi,"action, lawsuit, boasting. BER-: be in action, show off. Also -AN.","^1. action. 2. lawsuit. 3. boasting, pretense. BER-: 1. be in action. 2. show off. -AN: put on airs to get attention.",tindakan; gaya; gerakan; sikap.,,Pandai sekali anak itu BERAKSI di depan kamera.
akta,official document,official document *-KELAHIRAN = birth certificate *-KEMATIAN = death certificate *-PERNIKAHAN = marriage license,,,Setiap anak harus mempunyai AKTA KELAHIRAN
akte,official document; see AKTA,,,,
aktris,aktris.,"actress (The picture shows Christine Hakim, a famous Indonesian film actree",Wanita yang pekerjaannya beraksi di atas pentas/pertunjukan.,,Christine Hakim adalah seorang AKTRIS film yang terkenal di Indonesia.
aku,"I (familiar first-person pronoun). Also BER-, MENG-, MENG--I,+","^*I (familiar first-person pronoun). BER-: to use ""aku"", to be familiar when talking to another. *MENG-: 1 confess. 2 guarantee, promise. 3 claim to be. 4 consider as one's own. 5 always talk about oneself, boast about oneself. *MENG--I: 1 acknowledge, admit. 2 confess, admit. 3 recognize, acknowledge. KE--AN: egosim. -AN: 1 confession, admission. 2 genie, spirit. PENG-: one who confesses. PENG--AN: 1 confession (of faith). 2 acknowledgment. 3 avowal. 4 admission (of guilt).",Diri-sendiri. Kata ganti orang pertama. Sinonim: saya.,,Polisi MENGAKUI pencuri itu memang pandai.
akumulasi,accumulation.,accumulation.,pengumpulan; penimbunan.,,Kemarahannya itu akibat dari AKUMULASI rasa kecewanya.
akuntabilitas,accountability,accountability,,,
akur,"agree to do, go along with",MENG--I: agree with. MENG--KAN: 1. reconciliate. 2. check. 3. harmonize. KE--AN: conformity. 2. harmony. --AN: mutually agree. PENG--AN: harmonization.,,,Polisi dan wartawan itu sudah ~ kembali
AL,"abbreviation of ""Angkatan Laut"" or the Navy","abbreviation of ""Angkatan Laut"" or the Navy",,,
ala,in the style of.,in the style of.,seperti; secara.,,Sate ayam ALA Madura enak sekali rasanya.
alaihissalam,upon Him be peace (Isl.),^upon Him be peace (Isl.) -- used after mentioning one of the prophets other than Mohammad.,,,"Orang Islam, Kristen, dan Yahudi percaya akan kehadiran Nabi Musa ALAIHISSALAM"
alaikum,see ASALAMU'ALAIKUM.,see ASALAMU'ALAIKUM.,,,
alaikum salam,Peace be unto you (Isl.),Peace be unto you (Isl.) -- used to respond the greeting: assalam alaikum,,,"Andi: Assalam alaikum Mr. Mursidi! (Peace be unto you, Mr. Mursidi) Mr. Mursidi: Alaikum salam, Andi! (Peace be unto you, Andi)"
alam,"world, realm; nature, natural. Also KE--AN, MENG--I, PENG--AN,+","^*1 world, realm. 2 nature, natural. KE--AN: quality, nature, character. *MENG--I: experience (verb). *PENG--AN: experience (noun). BERPENG--AN: have experience, be experienced.",Dunia. Daerah.,,"Ketika membuat pekerjaan rumah, saya MENGALAMI kesukaran."
alamat,"address; omen, sign, indication. MENG--I: put address on. Also SI-, BER-,+","^*1 address. 2 omen, sign, indication. SI-: the addressee. *BER-: 1 have an address. 2 indicate. 3 be titled (of a book). MENG--I: put address on. MENG--KAN: 1 address s. t. 2 indicate, foretell.",1. Tanda. 2. Sasaran. 3. Tempat yang jadi sasaran/tujuan surat.,,Bunga itu DIALAMATKAN pada pacarnya.
alamiah,"natural, concern with nature","natural, concern with nature",,,Perawatan rambut secara ALAMIAH disukai kaum wanita
alang,,,,,
alang,"1. crosswise, diagonal. 2. crossbeam, bar",MENG--: lie athwart or across. MENG--KAN: place s.t. athwart.,,,Pohon ~ di jalan
alang-alang,"tall, coarse grass (syn. ILALANG)","tall, coarse grass",rumput tinggi dan kasar atau ilalang,,Rumah Pak Amin tidak terurus lagi dan dipenuhi dengan ALANG-ALANG
alangkah,(exclamation) how(very)...!,(exclamation) how (very) ...! alangkah senang = how wonderful!,Kata seru untuk rasa kagum atau senang; betapa.,,ALANGKAH indahnya pemandangan di sini!
alaram,"alarm, danger signal","^alarm, danger signal",,,ALARAM berbunyi keras ketika asap api memenuhi ruangan kelas
alas,"1. base, foundation. 2. lay, covering. BER-(-KAN): be based on. Also BER--AN, +","1. base, foundation. 2. layer, covering. BER-(-KAN): be based on. BER--AN: have a base or foundation. MENG-(-I): 1. cover. 2. lay a foundation. -AN: 1. reason, excuse. 2. basis, foundation. 3. evidence, grounds.",dasar; fundamen; fondasi.,,
alasan,have base; foundation; SEE ALAS,,,,
alat,"instrument, tool, device, equipment. MENG--I: equip s.o. with. Also MENG--KAN,+","^*instrument, tool, device, equipment. MENG--I: equip s.o. with. *MENG--KAN, MEMPER-: manipulate, treat or use as an instrument. *PER--AN: 1 instrumentation. 2 equipment, tools.",1. Barang yang dipakai untuk mengerjakan sesuatu. 2. Barang yang dipakai untuk mencapai sesuatu maksud. 3. Perkakas/ perabot.,,"Untuk mendapat kue, si Ali MEMPERALAT adiknya."
algojo,"executioner, murderer.","executioner, murderer.",Orang yang biasa membunuh/melaksanakan hukuman mati.,,Hidupnya akan berakhir di tangan ALGOJO itu.
Alhamdullilah,Praise be to God.,^*(Isl.) Praise be to God.,1. Segala puji bagi ALLAH. 2. Doa dalam agama Islam untuk menyatakan syukur.,,"ALHAMDULILLAH, anakku sudah lulus ujian."
alhasil,"1. eventually, in the end. 2. consequently, in sum, the result.",,,,"~, kami tak jadi pergi"
alias,"1. i.e., namely, in other words. 2. alias, otherwise called.","1. i.e., namely, in other words. 2. alias, otherwise called.",,,"Parno, ALIAS Si Musang, adalah penjahat yang terkenal di kawasan ini."
alih,"BER-: shift, alter position. MENG-: replace s.t.","^BER-: shift, alter position. MENG-: replace s.t. *MENG--KAN: to replace s.t., to shift.",pindah; tukar;berubah; ganti.,,Siapa yang MENGALIH kursi yang di sini tadi?
alim,"religious, devout.","religious, devout.",Tidak nakal; saleh; beragama dengan baik.,,Anakku yang sulung sangat ALIM.
aling,"screen, protection. -AN: screen, protection.","screen, protection. -AN: screen, protection.",menutupi; melindungi.,,ALINGAN itu sebaiknya dipasang di sini.
alir,"MENG-: flow, stream. -AN: flow, current, channel, trend (of thought, ideology).","^MENG-: flow, stream. -AN: flow, current, channel, trend (of thought, ideology).",Bergerak ke depan/bawah.,,ALIRAN listrik ini besar sekali.
alis,eyebrow.,eyebrow.,,,Bulu ALISnya tebal sekali.
Aljazair,Algeria.,Algeria.,Nama suatu negara di benua Afrika bagian utara.,,
alkisah,the story,the story; once upon a time,,,
alkitab,the Bible,the Bible.,,,
Allah,God.,^*God.,Tuhan.,,Nasib seseorang ALLAH-lah yang menentukan.
almarhum,term used to refer to a deceased person.,term used to refer to a deceased person.,Sebutan untuk orang yang sudah meninggal.,,Syahrir was born in the town of Binjai.
almari,see LEMARI,see LEMARI,,,
alokasi,allocation,allocation *MENG-KAN: allocate DI-KAN: allocated,,,*Pemerintah MENGALOKASIKAN bantuan obat-obatan ke korban kericuhan Ambon
alokir,MENG-:allocate,MENG-: allocate,,,Pemerintah Daerah Provinsi Sulawesi Selatan MENGALOKIR dana sebesar 3 miliar rupiah untuk pendidikan tahun ini
