term,definition,long_definition,vernacular_definition,note,example
jangka,period of time; phase. PEN--AN: planning out.,1 period of time. 2 phase. *PEN--AN: planning out.,Ukuran lamanya/waktu suatu hal/pekerjaan.,,Pembuatan jembatan ini membutuhkan PENJANGKAAN selama lima tahun.
jangkah,MEN-: jump over (across),MEN-: jump over (across),,,Rina MENJANGKAH sungai kecil itu dengan cepat
jangkau,"MEN-: reach out, reach; TER-: reachable","MEN-: reach out, reach. TER-: within reach, reachable",Meraih/mengambil sesuatu dengan menjulurkan tangan ke depan.,,"Karena uang sekolah mahal sekali, sekolah tidak TERJANGKAU oleh orang miskin."
jangki,see JANGKIH,see JANGKIH,,,
jangkih,a strap (to carry a basket on the soulders),^a strap (to carry a basket on the soulders) see JANGKI,,,Penduduk asli Irian Jaya membuat JANGKIH dari tali rapiah
jangkrik,1. cricket; 2. (Jav.)exclamation used as euphemism,1.cricket; 2.exclamation,,,Pada malam hari JANGKRIK ramai berbunyi
jangkung,"gaunt, lanky.","gaunt, lanky.",Badan yang tinggi dan panjang.,,"Pemain yang besar, kuat, dan JANGKUNG yang akan dipilih."
janin,"[Biol.] fetus, embryo","[Biol.] fetus, embryo",,,Melalui alat ini kita bisa melihat JANIN di dalam perut ibunya
janji,"promise, agree; engagement, appointment. Also BER-, PER--AN.","^1 promise, agree. 2 engagement, appointment. *BER-: promise, pledge. *PER--AN: agreement, contract.",Kesanggupan untuk melakukan suatu hal.,,PERJANJIAN ini sah karena sudah disetujui oleh kedua belah pihak.
jantan,male (usually of animals).,male (usually of animals).,Jenis kelamin laki-laki; sifat yang gagah dan berani.,,Dia belum merasa JANTAN kalau belum bisa membalas kekalahannya.
jantung,heart (the organ of the body).,"heart (the organ of the body). * --HATI: sweetheart, beloved.",,,Kamu adalah JANTUNG HATI ku
jantur,"1. magic trick, sleight-of-hand 2. magic spell","^1. magic trick, sleight-of-hand 2. magic spell *MEN-: perform magic tricks TER-: enchanted, under a spell -AN: puppeteer's narration in a shadow play PEN-: 1. sorcerer 2. (snake) charmer",,,*Iwan MENJANTUR di depan teman-temannya
janur,young coconut leaf,^young coconut leaf,,,Orang-orang membuat hiasan pengantin dari JANUR
japit,"tongs, clamp","^tongs, clamp",,,"Tolong berikan JAPIT itu, saya hendak mengangkat ayam bakar ini"
jarah,plunder,"* MEN~ = plunder ~AN = plunder, booty, spoils ** PEN~ = plunder, pillager PEN~AN = pillage, plundering",,,** PENJARAH itu ditangkap oleh polisi
jarak,distance from/between. PER--AN: spacing.,distance from/between. PER--AN: spacing.,Januh antara satu benda dengan yang lainnya.,,"Di kompleks ini, PERJARAKAN antara satu rumah dengan rumah yang lain sudah diatur."
jarang,"rare, scarce; infrequently, seldom; spaced wide apart; sparse. Also KE--AN.","^1 rare, scarce. 2 infrequently, seldom. 3 spaced wide apart. 4 sparse. *KE--AN: infrequency, scarceness.",Tidak rapat/kerap.,,KEJARANGAN acara ini disebabkan oleh tidak adanya dana.
jari,finger or toe.,finger or toe.,Ujung tangan atau kaki yang beruas-ruas yang biasanya berjumlah sepuluh.,,Sungguh lentik JARI-JARI tangan anak gadis itu.
jaring,dragnet or seine (not a casting net),"dragnet or seine ~2 = web 2. sports net, mesh net * MEN~ = 1. catch or pick up in a net 2. encompass, embrace TER~ = caught, snared **~AN = 1. net 2. network (TV, road, radio) 3. (Anat.) tissue PEN~ = s.t. to use as a net PEN~AN = action of snaring",jaring-jaring laba-laba = spider web,,**JARINGAN kelompok perampok di Jakarta terorganisir dengan baik
jarum,needle.,needle.,Benda kecil dari logam yang berlobang kecil di pangkalnya untuk menjahit; alat untuk menyuntik; batang penunjuk di arloji atau jam dinding.,,Jauhkan JARUM itu dari anakmu nanti dia bisa tertusuk.
jas,"coat, jacket.","coat, jacket.",Baju dengan potongan Eropa biasanya dipakai untuk bekerja di kantor atau untuk acara resmi.,,Sarung ini akan cocok bila dipakai dengan JAS tutup ini.
jasa,merit or service rendered. BER-: to provide one's services.,merit or service rendered. BER-: to provide one's services.,Pelayanan; servis; tenaga yang digunakan untuk orang lain baik dengan imbalan maupun tidak.,,Orang itu BERJASA besar bagi negaranya.
jasad,[Biol.] 1. body; 2. organism,[Biol.] 1. body; 2. organism *-- RENIK: microorganism,"badan, raga, fisik",,Kita harus menggunakan mikroskop untuk melihat JASAD RENIK
jasmani,body. KE--AN: materialism. PEN--AN: materialization.,^body. KE--AN: materialism. PEN--AN: materialization.,tubuh; benda yang berbentuk; badan.,,Dia sehat-sehat saja secara JASMANI dan rohani.
jatah,"allocation, quota. MEN--KAN: allocate. PEN--AN: distributing.","allocation, quota. MEN--KAN: allocate. PEN--AN: distributing.",Jumlah sesuatu hal/barang yang sudah ada batas ketentuannya.,,Adanya PENJATAHAN produksi semen ini akan merusak sistem ekonomi pasar.
Jateng,"Contraction of ""Jawa Tengah,"" the province of Central Java.","Contraction of ""Jawa Tengah,"" the province of Central Java.",,,
jati,teak wood or tree. see also SEJATI.,(see also SEJATI) teak wood or tree.,,,
jati,teak tree or wood.,teak tree or wood.,Nama pohon yang kayunya sangat kuat; nama daun dari pohon jati.,,
Jatim,acronym for Jawa Timur (East Java).,acronym for Jawa Timur (East Java).,,,
jatuh,"fall; fail. BER--AN: fall (plural). Also MEN--I, MEN--KAN, KE--AN.","^1 fall. 2 fail. *BER--AN: fall (plural). *MEN--I: to cause to fall, fell. *MEN--KAN: 1 drop. 2 topple, overthrow. 3 pass a sentence, hand down a verdict. KE--AN: be hit by a falling object.",Terlepas/turun ke bawah.,,KEJATUHANnya disebabkan oleh kesombongannya sendiri.
jauh,"far, distant. BER--AN: be far from e.o. Also MEN-, _-MEN-_-I, MEN-, KE--AN.","^ far, distant. BER--AN: be far from each other. *MEN--I: to move away from, make o.s. distant from. _-MEN-_-I: remain distant from e.o. *MEN-: be or grow distant. *KE--AN: 1 distance. 2 to be at a distance.",Tidak dekat jaraknya.,,Buku itu KEJAUHAN; saya tidak bisa menjangkaunya.
Jawa,"1. Java, one of the major islands in Indonesia. 2. Javanese.","1. Java, one of the major islands in Indonesia. 2. Javanese, a major ethnic group in Indonesia.",Nama sebuah pulau di Indonesia.,,Istriku adalah orang Jawa yang berasal dari Yogyakarta.
jawab,"reply, answer, response. BER-: to reply. Also BER--AN, MEN-, MEN--I, -AN.","^reply, answer, response. BER-: to reply. *BER--AN: reply to e.o. *MEN-, MEN--I: to respond to or answer a question. *-AN: response, answer.",Memberi respon pada suatu hal.,,JAWABAN yang kau berikan menyulitkan semua pihak.
jawat,"SE-: colleague. -AN: office, division, bureau.","^SE-: colleague. -AN: office, division, bureau.",Memegang suatu jabatan.,,Rambu-rambu lalu lintas itu dipasang oleh JAWATAN Kereta Api.
jawatan,"department, government office.","department, government office.",Bagian dari suatu departemen dengan tugas tersendiri.,,Pembuatan rel ini dilakukan oleh JAWATAN Kereta Api Jawa Timur.
jaya,"victory; victorious, glorious; prosperous. Also BER-, MEN--KAN, KE--AN.","^1 victory. 2 victorious, glorious. 3 prosperous. BER-: victorious, prosperous. *MEN--KAN: glorify, extol. *KE--AN: 1 glory, fame. 2 prosperity.",Mendapatkan kemenangan yang gilang-gemilang.,,KEJAYAAN kerajaan Majapahit bisa dilihat dari peninggalan candi-candinya.
Jayapura,capital city of the Province of Irian Jaya in Indonesia.,capital city of the Province of Irian Jaya in Indonesia.,Ibukota dari pripinsi Irian Jaya.,,Anakku sedang bertugas di JAYAPURA.
jebak,"trap. MEN-: to trap animals. TER-: trapped, snared. Also PE-, PEN--AN.","trap. MEN-: to trap animals, etc. TER-: trapped, snared. PE-: trapper. PEN--AN: trapping.",Perbuatan yang dilakukan dengan tujuan menangkap sesuatu.,,Kami TERJEBAK di hutan itu ketika sedang berburu.
jeblok,"jeblok1= muddy; jeblok2= sag, drop (of price, inflation, etc)","jeblok1= *muddy KE-: 1. be stuck, mired in mud 2. be tricked, cheated. jeblok2= **sag, drop (of price, inflation, etc)",,,**Nilai Rupiah JEBLOK di pasar uang
jebol,broken down,"broken down perforated MEN- break down (a door, etc.) penetrate (enemy lines, etc.) break through (a wall, etc.) MEN- -KAN make something break down or through score -AN dropout or graduate ex, former PEN- -AN breaking down or through of, incursion",,,
jegal,"trip, make fall flat on its face.","trip, make fall flat on its face.",Menghalangi perjalanan orang dengan kaki atau kayu; menghalangi karier orang dengan akal busuk/licik.,,Dia yang MENJEGAL kakiku waktu itu.
jejak,"trail, path, footprint, wake (of a ship). Also MEN--I.","^trail, path, footprint, wake (of a ship). MEN--I: tread on, step on. 2 follow on the trail of s.t. or s.o.",Bekas suatu perbuatan/telapak kaki.,,Polisi sedang MENJEJAKI kasus korupsi itu.
jejaka,"youth; young man, bachelor, unmaried young man","young man; youth, bachelor",lelaki muda; perjaka,,Si Amir sudah tumbuh menjadi JEJAKA tampan
jejal,"BER-: crowd, jam. MEN-: stuff full.","BER-: crowd, jam. MEN-KAN: stuff full.",penuh; sesak.,,Ibu MENJEJALKAN campuran itu ke dalam ayam itu sebelum di masak.
jejer,"series, row, line.","^series, row, line.",berderet; bersebelahan; berdampingan.,,
jelaga,soot.,soot.,Butiran arang halus yang berwarna hitam yang terjadi dari asap api.,,JELAGA lampu teplok ini menghitamkan seluruh langit-langit rumah.
jelajah,"MEN-(-I): wander far over distant regions, explore.","MEN-(-I): wander far over distant regions, explore.",Melintasi; menelusuri; melewati banyak tempat. =,,Saya pernah MENJELAJAHI daerah ini.
jelajat,glance,"^glance *-AN: glance at, ogle",,,Z entering the room.
jelak,"1. bored, satiated 2. be tired","1. bored, satiated 2. be tired TER-: full, stuffed (with flood).",,,Saya merasa JELAK dengan kentang goreng
jelang,"MEN-: visit, call on, pay respects; around, toward; approach, come close to.","^*MEN-: 1 visit, call on, pay o.'s respects. 2. around, toward. 3. approach, come close to.",Waktu yang hampir tiba.,,Toko-toko akan terlihat semarak MENJELANG tahun baru.
jelas,"clear, distinct; explicit, clear. MEN--KAN: make clear; explain. Also PEN--AN.","^1 clear, distinct. 2 explicit, clear. *MEN--KAN: 1 to make clear. 2 explain. *PEN--AN: clarification, explanation.",Sinonim: terang. tidak kabur.,,
jelek,"ugly; bad, evil; bad, poor in quality. -NYA: the bad thing is . . .","^1 ugly. 2. bad, evil. 3 bad, poor in quality. *-NYA: the bad thing is . . .",Sinonim: buruk. tidak baik.,,Dengan mendiamkan masalah ini JELEKNYA adalah hal ini menjadi berlarut-larut.
jeli,"1. charming, ravishing, beautiful (of eyes) 2. sharp","^*1. charming, ravishing, beautiful (of eyes) 2. sharp KE-AN: carefulness of observation or work",,,Alesa memiliki mata yang JELI
jelita,"lovely, sweet","lovely, sweet KE- AN",,,
jelma,"MEN-: to assume a shape or form. Also MEN--KAN, -AN.","MEN-: to assume a shape or form. MEN--KAN: create, shape or transform s.t. -AN: incarnation.",Berubah menjadi hal yang lain; lahir kembali.,,Patung ini adalah patung JELMAAN dewa Wisnu.
jemaah,"1.community, assembly; 2.congregation","1.community, assembly; 2. congregation *- HAJI : collective pilgrimage to Mecca",,,"Setiap hari Minggu, JEMAAH gereja itu berdoa bersama"
jemaat,see jemaah,,,,
jembatan,bridge. MEN--I: to bridge a gap.,bridge. MEN--I: to bridge a gap.,Alat/sesuatu yang menghubungkan satu tempat/hal dengan lain tempat/hal.,,"Kalau tidak ada orang yang MENJEMBATANI, pertengkaran itu pasti akan tetap berlangsung."
jempol,thumb.,thumb.,,,
jemput,"go to fetch, pick s.o. up somewhere. MEN-: pick up (with fingers); fetch s.o.","go to fetch, pick s.o. up somewhere. *>MEN-: 1 to pick up (with the fingers). 2 to call for s.o., to fetch.",Mengundang orang untuk menghadiri suatu perhelatan. Mengambil sesuatu dengan jari. Mengambil seseorang yang akan diajak pulang/pergi bersama.,,Siapa yang akan MENJEMPUT adik?
jemu,"be bored, tired of. MEN--KAN: boring, tiresome. KE--AN: boredom. +","be bored, tired of. MEN--KAN: boring, tiresome. KE--AN: boredom. TIDAK JEMU-JEMUNYA: tirelessly.",bosan; sudah tidak suka lagi.,,TIDAK JEMU-JEMUNYA dia mengganggu adiknya.
jemur,"sunbathe, dry in the sun. BER-: expose o/s/ to the sun. Also MEN-, TER-, -AN.",^1. sunbathe. 2. dry in the sun. BER-: expose o.s. to the sun. MEN-: spread out in the sun to dry. TER-: dried in the sun. -AN: things dried in the sun. PEN--AN: rack for drying clothes.,Mengeringkan atau memanaskan sesuatu di bawah sinar matahari.,,Ayah sedang memperbaiki PENJEMURAN.
jenasah,see JENAZAH.,see JENAZAH.,,,
jenazah,"corpse, dead body.","corpse, dead body.",Raga/badan yang sudah tidak bernyawa.,,JENAZAH neneknya akan dimakamkan hari ini.
jendela,window. BER-: to have windows.,window. *BER-: to have windows.,Semacam pintu tetapi lebih kecil bentuknya berfungsi sebagai keluar masuknya udara.,,Hampir seluruh dinding kantor itu BERJENDELA kaca.
jenderal,general (military rank).,general (military rank).,Perwira tinggi; pangkat tertinggi dalam kemiliteran.,,JENDERAL yang gagah berani itu gugur di medan laga.
jenggot,beard. BER-: to have a beard.,beard. *BER-: to have a beard.,Rambut yang tumbuh di dagu.,,Saya hampir tidak mengenalmu karena sekarang kamu BERJENGGOT.
jengkal,"span of hand, from thumb to fingertips.","span of hand, from thumb to fingertips.",Ukuran sepanjang rentangan jari-jari tangan.,,"Ular itu pendek saja, panjangnya hanya SEJENGKAL."
jengkel,"irritated, annoyed.","irritated, annoyed.",Perasaan hati yang tidak senang karena tidak puas akan sesuatu.,,Segala hal yang kulakukan hanya membuatnya JENGKEL.
jengki,"s.t. of cowboy type (as of pants, hat, etc.).","s.t. of cowboy type (as of pants, hat, etc.).",Hal seperti celana panjang atau topi yang mirip model koboi; celana panjang yang ujungnya sangat sempit.,,"Penampilan anak muda itu sangat aneh, selalu bersepeda dan bercelana JENGKI."
jenguk,MEN-: visit.,MEN-: visit.,tengok; besuk; tilik.,,Kami punya rencana untuk MENJENGUK nenek minggu depan.
jenis,"kind, sort, genre; species.","*1 kind, sort, genre. 2 species.",Sinonim: macam.,,Hanya JENIS tumbuh-tumbuhan keras yang hidup di daerah ini.
jenjang,"1. ladder, stairs. 2. level, grade. BER-: step by step, gradually, by ladder. +","1. ladder, stairs. 2. level, grade. BER-: step by step, gradually, by ladder. MEN-I: support.",tingkat; tahap; tangga.,,Dia bekerja keras untuk bisa MENJENJANGI biaya belajar anak-anaknya.
jenuh,surfeited,"1.surfeited, having had too much of something, sick and tired. 2.saturated",muak; bosan,,Larutan gula ini sudah JENUH
jepang,"Japan, Japanese","Japan, Japanese",,,Pacar Suminah itu orang JEPANG
jepit,"tweezers, clamp. MEN--KAN: squeeze, pinch s.t. KETER--KAN: be in a tight spot.","tweezers, clamp. MEN--KAN: squeeze, pinch s.t. TER-: squeeze. KETER--AN: be in a tight spot.",Tertekan diantara dua benda; terkurung; himpit; apit.,,Masalah sebenarnya adalah KETERJEPITAN ekonomi.
jera,"be afraid, discouraged. TAK JERA-JERANYA = dare to do s.t.","be afraid, discouraged. TAK JERA-JERANYA = dare to do s.t.",Tidak mau berbuat lagi; kapok.,,TAK JERA-JERANYA kamu memanjat pohon itu walau telah jatuh berkali-kali.
jeram,rapids,rapids *ARUS-- : white water rafting,,,
jerami,dried rice stalks; straw,dried rice stalks; straw,,,Keranjang ini terbuat dari JERAMI
jerang,"MENG--KAN: to heat, to boil (water). TER-: placed on the fire.","MEN--KAN: to heat, to boil (water). TER-: placed on the fire.",panggang; didih.,,"Jangan kau tinggalkan ikan yang sedang TERJERANG itu, nanti bisa hangus."
jerapah,zirapah,zirapah,,,JERAPAH binatang berleher panjang
jerat,"1. snare, lasso; 2. ruse, trick, trap","1. snare, lasso; 2. ruse, trick, trap *MEN--: snare, trick, deceive, round up (criminals), snarl, tangle *TER--: snared, tangled, entraped",,,Hatinya sudah TERJERAT oleh bujuk rayu Pak Sukri
jerawat,"pimple, blackhead, acne","pimple, blackhead, acne *BER--: be pimply *--AN: with acne.",,,"Ani itu sangat cantik, sayangnya mukanya JERAWATAN"
jerembab,throw one down headlong,*TER- = fall headlong,,,Amir jatuh TERJEREMBAB ke dalam lubang itu
jerit,"scream, shriek. MEN-: to scream or shriek. Also MEN-_-_, -AN.","scream, shriek. MEN-: to scream or shriek. *MEN-_-_: to scream or shriek repeatedly. *-AN: a scream or shriek.","Berteriak dengan keras karena kaget ,ketakutan, dll.",,JERITAN menakutkan baru saja terdengar dari lorong gelap itu.
jernih,"clear, pure.","clear, pure.",Tidak ada kotorannya; tidak keruh; bersih; bening.,,Saya suka berenang di telaga yang JERNIH airnya itu.
jeruk,general term denoting citrus fruits.,*general term denoting citrus fruits.,Nama buah-buahan dari keluarga citrus. Sinonim: limau.,,JERUK yang hijau dan besar-besar itu kami namakan JERUK BALI.
jidat,forehead,forehead,bagian kepala di kening,,Tidak sengaja Ali memukul JIDAT Ari sehingga berdarah
jihad,Islamic holy war.,Islamic holy war.,Perang suci untuk mempertahankan agama Islam; usaha dalam membela kebenaran dan mencapai kebaikan.,,Insya Allah saya akan BERJIHAD untuk membela kebenaran.
jijik,"nauseating; disgusted, nauseated. Also MEN--I, MEN--KAN, KE--AN.","^1 nauseating. 2 disgusted, nauseated. MEN--I: to be nauseating or disgusting. MEN--KAN: 1 to abhor s.t. 2 loathsome. KE--AN: 1 to be disgusted. 2 abhorance, disgust.",Perasaan tidak senang karena suatu hal yang kotor; keji dll.,,Perilakunya sungguh MENJIJIKKAN.
jika,see JIKALAU.,see JIKALAU.,,,
jikalau,if; when (future).,*1 if. 2 when (future).,Sinonim: kalau.,,JIKA hari tidak hujan saya pasti akan datang.
jilat,MEN-: lick. MEN--I: to lick s.t.; to flatter s.o. in order to gain favor.,^MEN-: lick. MEN--I: 1 to lick s.t. 2 to flatter s.o. in order to gain favor.,Merasakan sesuatu dengan mengulurkan lidah keluar dari mulut; perbuatan yang ditujukan untuk mendapat keuntungan sendiri dengan menyenangkan orang lain (berkonotasi negatif).,,Anjing dan kucing itu saling MENJILATI ekor masing-masing.
jilbab,veil worn by Islamic women which covers all but the face and hand.,veil worn by Islamic women which covers all but the face and hand.,Busana wanita Muslim.,,Paras muka gadis BERJILBAB itu sungguh teduh.
jilid,"volume (of a book, etc.).","volume (of a book, etc.).",Bagian dari buku yang terdiri dari banyak bagian.,,Sudahkah kau baca JILID yang ketiga belas ini?
jimat,"charm, talisman, amulet","charm, talisman, amulet",,,Pak Hadi percaya JIMAT ini membuatnya lebih kuat
jin,1. genie; 2. evil spirit,1. genie; 2. evil spirit,,,Hati-hati berjalan di depan pohon tua itu di malam hari...kata orang pohon itu ada JINnya
jinak,"tame, domesticated, docile (of an animal); benign (of a tumor).","^1 tame, domesticated, docile (of an animal). 2 benign (of a tumor).",Tidak galak; penurut.,,Beruntung tumormu adalah jenis yang JINAK jadi masih bisa disembuhkan.
jingga,the color orange.,the color orange.,warna oranye.,,"Lihatlah langit di sana, merah JINGGA, seperti api yang membara."
jingkrak,see JINGKRAK1 (jump up and down . . .) or JINGKRAK2 (straddle . . .).,see JINGKRAK1 (jump up and down . . .) JINGKRAK2 (straddle . . .).,,,
jingkrak,BER-_-_: to jump up and down in joy.,^BER-_-_: to jump up and down in joy.,"Melompat-lompat ke atas dan ke bawah, biasanya karena kegirangan.",,Setelah diberi pisang monyet itu BERJINGKRAK-JINGKRAK kegirangan.
jingkrak,"BER-, MEN-: to sit astride s.t. MEN--I: to squat in or on a place.","^BER-, MEN-: to sit astride s.t. MEN--I: to squat in or on a place.",,,
jinjing,MEN-: carry s.t. in one's hand. -AN: s.t. carried in the hand.,^MEN-: carry s.t. in one's hand. -AN: s.t. carried in the hand.,"Membawa sesuatu dengan tangan, biasanya barang yang tidak berat.",,Berapa JINJINGAN yang kau bawa untuk oleh-oleh?
jintan,SEE JINTEN,,,,
jinten,caraway seed; cumin,caraway seed; cumin,,,Masakan ini memerlukan JINTEN yang halus 
jiplak,"MEN-: copy; cheat (on an exam); plagiarize. Also PEN-, PEN--AN.",^MEN-: 1 copy. 2 cheat (on an exam). 3 plagiarize. PEN-: 1 plagiarist. 2 copy maker. PEN--AN: plagiarism.,Mencontoh atau mencuri karangan orang lain dan mengakuinya sebagai hasil karya sendiri.,,PENJIPLAKAN buku nampaknya sudah membudaya karena tidak ada tindakan yang tegas untuk para PENJIPLAKnya.
jiran,"1. neighbor 2. kin, relative","*^1. neighbor 2. kin, relative BER-: be neighbors -AN: neighbor",,,Rahman.
jitak,slap s.o.,*MEN-- : to slap s.o.,memukul,,Pak Rahim marah dan MENJITAK sopir taksi itu
jitu,"accurate, precise, exact. KE--AN: accuracy, precision.","accurate, precise, exact. KE--AN: accuracy, precision.",Kena sasaran; tepat; pas.,,KEJITUAN ramalannya membuat peramal itu terkenal.
jiwa,"soul, inner spirit of a person. KE--AN: spiritual, psychological.","soul, inner spirit of a person. KE--AN: spiritual, psychological.",Roh atau isi batin mahluk hidup yang tidak berwujut tetapi bisa dirasakan.,,
Jkt.,Jakarta.,Jakarta.,Nama sebuah kota besar di Indonesia; ibu kota Republik Indonesia.,,
jodo,"mate, marriage partner.","mate, marriage partner.",pasangan; sesuatu hal atau orang yang cocok dengan kemauan/keadaan kita.,,Kalau memang sudah JODO mau lari kemana lagi.
jodoh,see JODO.,see JODO.,,,
joget,"dance, dancing girls, troupe of dancing girls.","dance, dancing girls, troupe of dancing girls. MEN-: to dance. BER-: to dance.",tari.,,Siapa mau BERJOGET denganku?
jok,seat (of car),*--MUKA: front seat *-- MOBIL: car upholstery,kursi di mobil,,Saya harus mengganti JOK mobil ayahnya
jongkok,"BER-: to squat, kneel.","BER-: to squat, kneel.",Duduk di atas kaki yang ditekuk.,,"Hanya dia yang duduk di kursi, yang lainnya BERJONGKOK semua."
jorok,"see jorok 1, jorok 2","see jorok 1, jorok 2",,,
jorok,"1. slovently, slipshod 2. dirty, untidy","^*1. slovently, slipshod 2. dirty, untidy KE-AN: slovenliness, dirtiness, squalor PEN-: scoundrel, swine",,,*Bajunya JOROK karena lumpur
jorok,"stick out, project, protrude","^stick out, project, protrude *MEN-: stick out, project, protrude, extend out MEN-KAN: 1. make s.t. protrude 2. push or shunt aside TER-: to be made to project or protrude -AN: a protrusion",,,*Pohon yang MENJOROK ke atap rumahku itu adalah pohon beringin
jotos,"fist. BER-: fight with fists. MEN-: strike s.o. with a fist. Also MEN--KAN, -AN.",fist. BER-: fight with fists. MEN-: strike s.o. with a fist. MEN--KAN: strike out with. -AN: boxing.,,,
jua,"nothing/nobody but, only; even if it is, no matter; nevertheless.","*^1 nothing/nobody but, only. 2 even if it is, no matter. 3 nevertheless.","sinonim: juga, saja.",,"Walau bagaimanapun, aku JUA yang akan menanggung akibatnya."
juadah,delicacy made of rice.,delicacy made of rice.,Jenis makanan yang terbuat dari ketan.,,
jual,"sell. BER--AN: sell things for a living. Also MEN-, TER-, PEN-, PEN--AN.",sell. *BER--AN: sell things for a living. *MEN-: sell s.t. *TER-: sold out. *PEN-: seller. PEN--AN: selling.,Menukar sesuatu untuk mendapatkan uang.,,Kami akan menghitung seluruh PENJUALAN hari ini.
juang,"struggle. BER-: struggle, fight. MEMPER--KAN: struggle for s.t. Also PE-, +","struggle. BER-: fight, struggle. MEMPER--KAN: struggle for s.t. PE-: fighter, warrior. PER--AN: struggle, fight. SEPER--AN: sharing in the same struggle.",,,
juara,champion. KE--AN: championship.,champion. KE--AN: championship.,Pemenang dalam suatu lomba.,,KEJUARAAN sepak bola dunia tahun 1994 diadakan di Amerika.
jubah,"long flowing robe (including religious habits, Arabic garments, etc.)","long flowing robe (including religious habits, Arabic garments, etc.). *BER--: wear such a robe.",,,Dia dilantik dengan memakai JUBAH merah
judes,"1. harsh and rude; 2.cruel, vicious (esp. in speech)","1. harsh and rude; 2. cruel, vicious","suka berkata kasar, tidak sopan",,Ida tidak punya teman karena dia sangat JUDES
judi,"gamble. BER-, MEN-: to gamble. Also MEN--KAN, PEN-, PEN--AN, PER--AN.","gamble. *BER-, MEN-: to gamble. *MEN--KAN: to gamble s.t. *PEN-: gambler. *PEN--AN, PER--AN: 1 gambling. 2 a gambling place.","Segala permainan yang mengandung unsur untung-untungan dengan pertaruhan uang, dll.",,Segala bentuk PERJUDIAN di daerah ini dilarang oleh para ulama.
judul,"title, caption, heading. BER-: have a title, caption, or heading.","title, caption, heading. BER-: have a title, caption, or heading.",Kepala karangan; Suatu kata yang bisa menggambarkan topik suatu karangan.,,"Buku yang saya baca ini BERJUDUL ""Kawin Lari."""
juga,"also, too.","*also, too.",Sama dengan hal yang sebelumnya.,,Kalau kamu pergi saya JUGA akan pergi.
jujur,"JUJUR1 = honest, on the level. JUJUR2 = MEN--I: present a brid-price to.","JUJUR1 = honest, on the level. KE--AN: honesty. JUJUR2 = MEN--I: present a bride-price to. -AN: bride price.",,,
julang,"MEN-: 1. soar, tower. 2. hold in high esteem.","MEN-: 1. soar, tower. 2. hold in high esteem.",Tampak membumbung/menyembul tinggi.,,Sekarang banyak gedung-gedung yang MENJULANG di kota kecil itu.
Juli,July.,July.,Nama bulan sesudah bulan Juni.,,
juling,cross-eyed,cross-eyed,,,
juluk,"named, called. MEN--I: give s.o. a nickname. -AN: nickname.","named, called. MEN--I: give s.o. a nickname. -AN: nickname.",Gelar; nama kehormatan; nama ejekan; nama sindiran.,,"JULUKAN ""Pahlawan Nasional"" tidak tepat"
julur,in and out,"in and out, to and fro, back and forth BER- -AN stick out MEN- stick outward panhandle, beg in the streets MEN- -KAN stick something out TER- jut out -AN something that juts out PEN- panhandler",,,
Jumaat,see JUMAT.,see JUMAT.,,,
Jumat,Friday.,Friday.,Nama hari sesudah hari Kamis dan sebelum hari Sabtu.,,
jumbuh,"similar, identical. MEN--KAN: make s.t. compatible. KE--AN: identity.","similar, identical. MEN--KAN: make s.t. compatible. KE--AN: identity.",,,
jumlah,"sum, amount, total; number, quantity. Also -NYA, SE-, BER-, MEN--KAN.","^1 sum, amount, total. 2 number, quantity. *-NYA: (in) the amount of. *SE-: as much as, to the amount of. *BER-: to number so many. *MEN--KAN: add up, count.",Banyaknya hitungan dari suatu hal/kelompok.,,Tidak betul untuk MENJUMLAHKAN ikan itu karena tidak sama jenisnya.
jumpa,"meet. BER-: meet, run into. MEN--I: 1. find. 2. go to meet. 3. meet with.+","^meet. BER-: meet, run into. MEN--I: 1. find. 2. go to meet. 3. meet with. MEMPER--KAN: 1. bring together. 2. reconcile. TER-: found, exist. PER--AN: meeting, encounter. *--PERS: press conference.",,,
jumput,"SE-: a pinch of s.t. MEN-: pick up with thumb and forefinger, get a pinch of.","SE-: a pinch of s.t. MEN-: pick up with thumb and forefinger, get a pinch of.",,,
Juni,June.,June.,Nama bulan sesudah Mei dan sebelum Juli.,,
junjung,"MEN-: carry s.t. on the head, respect. Also BER--AN, MEN--KAN, -AN, TER-+","^BER--AN: have a husband. MEN-: 1. carry s.t. on the head or shoulders. 2. respect. MEN--KAN: carry s.t. on the head. -AN: person who is esteemed. TER-: be placed on the head or high on the back. PEN--AN: respecter, worshiper.",Membawa sesuatu di atas kepala; hormat; menuruti.,,Segala perintah JUNJUNGANnya akan dia lakukan.
juntai,dangle,"^dangle BER-, MEN-, TER-: dangle BER-AN: dangle (of many things) *MEN-KAN: dangle s.t. down",,,*Saya duduk di bangku sambil MENJUNTAIKAN kakiku
junub,(Isl.) ritually impure,"(Isl.) ritually impure or soiled (after coitus, giving birth, menstruation etc.)",,,JUNUB wajib hukumnya bagi Umat Islam
junun,possessed by a devil,^possessed by a devil,,,
jura,MEN-: bow out of respect,^MEN-: bow out of respect,,,Di Jepang orang-orang memberi salam sambil MENJURA
jurai,"1. bunch 2. row, sequence","^1. bunch 2. row, sequence *BER-, TER-, MEN-: dangle, hang down (of hair, tassels, etc) BER-AN: hang down (in large number)",,,*Rambutnya TERJURAI dengan indah
